# confidence = 1 - 10^(log10_pvalue)
# matched = confidence > threshold
# threshold = 0.95
index,filename,carrier_name,R,log10_pvalue,confidence,matched
1,"0_'attack'_ 'blur', 'kernel_size'_ 13.png",carrier_0bit_test,-403055.46875,-0.22442433130475312,0.4035477671931781,False
58,"0_'attack'_ 'rotation', 'angle'_ 10.png",carrier_0bit_test,-362698.84375,-0.22261261514275044,0.40105439168613966,False
48,"0_'attack'_ 'resize', 'scale'_ 0.2.png",carrier_0bit_2026_Watermark,-810421.0,-0.21948753150478298,0.3967289725488271,False
8,"0_'attack'_ 'blur', 'kernel_size'_ 9.png",carrier_0bit_test,-530165.5,-0.20626824968090265,0.37808397094341084,False
21,"0_'attack'_ 'center_crop', 'scale'_ 0.9.png",carrier_0bit_test,-395556.8125,-0.20619542976453875,0.3779796830186929,False
13,"0_'attack'_ 'center_crop', 'scale'_ 0.1.png",carrier_0bit_test,-1811197.375,-0.20286972058834457,0.3731981358603802,False
24,"0_'attack'_ 'contrast', 'contrast_factor'_ 0.5.png",carrier_0bit_test,-843715.125,-0.20084731179915122,0.3702724579753117,False
47,"0_'attack'_ 'resize', 'scale'_ 0.1.png",carrier_0bit_test,-1685882.375,-0.18961033216395748,0.3537662020333233,False
52,"0_'attack'_ 'resize', 'scale'_ 0.6000000000000001.png",carrier_0bit_test,-344206.5625,-0.18891316011834378,0.3527279711240774,False
60,"0_'attack'_ 'rotation', 'angle'_ 20.png",carrier_0bit_test,-327128.5625,-0.1863627707055798,0.3489156906544786,False
16,"0_'attack'_ 'center_crop', 'scale'_ 0.4.png",carrier_0bit_test,-748725.9375,-0.18563533445835412,0.3478242211037421,False
63,"0_'attack'_ 'rotation', 'angle'_ 35.png",carrier_0bit_test,-261276.96875,-0.18339831258683315,0.34445624054799506,False
48,"0_'attack'_ 'resize', 'scale'_ 0.2.png",carrier_0bit_test,-813379.6875,-0.1753717633466979,0.332227951213508,False
10,"0_'attack'_ 'brightness', 'brightness_factor'_ 1.0.png",carrier_0bit_test,-1028945.75,-0.17485581807005665,0.3314341613213121,False
22,"0_'attack'_ 'center_crop', 'scale'_ 1.0.png",carrier_0bit_test,-1028945.75,-0.17485581807005665,0.3314341613213121,False
25,"0_'attack'_ 'contrast', 'contrast_factor'_ 1.0.png",carrier_0bit_test,-1028945.75,-0.17485581807005665,0.3314341613213121,False
45,0_'attack'_ 'none'.png,carrier_0bit_test,-1028945.75,-0.17485581807005665,0.3314341613213121,False
56,"0_'attack'_ 'resize', 'scale'_ 1.0.png",carrier_0bit_test,-1028945.75,-0.17485581807005665,0.3314341613213121,False
57,"0_'attack'_ 'rotation', 'angle'_ 0.png",carrier_0bit_test,-1028945.75,-0.17485581807005665,0.3314341613213121,False
66,0_out.png,carrier_0bit_test,-1028945.75,-0.17485581807005665,0.3314341613213121,False
30,"0_'attack'_ 'hue', 'hue_factor'_ 0.0.png",carrier_0bit_test,-1020753.5,-0.17115320882972088,0.32570988788145494,False
35,"0_'attack'_ 'jpeg', 'quality'_ 100.png",carrier_0bit_test,-863913.6875,-0.17065783957814318,0.32494033364433983,False
34,"0_'attack'_ 'jpeg', 'quality'_ 10.png",carrier_0bit_test,-226422.9375,-0.16737104133583283,0.3198120111170464,False
71,5_out.png,carrier_0bit_test,-301250.53125,-0.16051303853233267,0.30898581676245307,False
7,"0_'attack'_ 'blur', 'kernel_size'_ 7.png",carrier_0bit_test,-644872.5,-0.15844995177789956,0.3056953910314164,False
62,"0_'attack'_ 'rotation', 'angle'_ 30.png",carrier_0bit_test,-300656.90625,-0.1561727538915032,0.30204528394920116,False
59,"0_'attack'_ 'rotation', 'angle'_ 15.png",carrier_0bit_test,-338150.96875,-0.15422455363463322,0.2989072979948464,False
61,"0_'attack'_ 'rotation', 'angle'_ 25.png",carrier_0bit_test,-282790.96875,-0.1505711480954949,0.2929846352766108,False
26,"0_'attack'_ 'contrast', 'contrast_factor'_ 1.5.png",carrier_0bit_test,-464523.8125,-0.1332134650867327,0.26415467522488434,False
20,"0_'attack'_ 'center_crop', 'scale'_ 0.8.png",carrier_0bit_test,-432260.375,-0.1247118166455146,0.24960802071112476,False
54,"0_'attack'_ 'resize', 'scale'_ 0.8.png",carrier_0bit_test,-434723.28125,-0.11289865399693462,0.22891661360944404,False
55,"0_'attack'_ 'resize', 'scale'_ 0.9.png",carrier_0bit_test,-434529.4375,-0.10193333705640892,0.20919999580840376,False
11,"0_'attack'_ 'brightness', 'brightness_factor'_ 1.5.png",carrier_0bit_test,-920181.875,-0.09502852427866985,0.19652665133859537,False
14,"0_'attack'_ 'center_crop', 'scale'_ 0.2.png",carrier_0bit_test,-1046398.5625,-0.09453263442385033,0.19560869852717244,False
51,"0_'attack'_ 'resize', 'scale'_ 0.5.png",carrier_0bit_test,-338372.21875,-0.09179377393520746,0.1905198079218643,False
15,"0_'attack'_ 'center_crop', 'scale'_ 0.30000000000000004.png",carrier_0bit_test,-795588.75,-0.08123196530084835,0.17059235389741634,False
23,"0_'attack'_ 'contrast', 'contrast_factor'_ 0.0.png",carrier_0bit_test,-43507.12890625,-0.06586725609028578,0.14072387731830627,False
49,"0_'attack'_ 'resize', 'scale'_ 0.30000000000000004.png",carrier_0bit_test,-548596.0,-0.06401202001501807,0.13704533665245122,False
31,"0_'attack'_ 'hue', 'hue_factor'_ 0.2.png",carrier_0bit_test,-647638.9375,-0.06200886696974498,0.133055824780398,False
12,"0_'attack'_ 'brightness', 'brightness_factor'_ 2.0.png",carrier_0bit_test,-753391.6875,-0.048172647157584264,0.10499110233818343,False
65,"0_'attack'_ 'rotation', 'angle'_ 5.png",carrier_0bit_test,-402639.25,-0.030382512523328277,0.06756731750501654,False
18,"0_'attack'_ 'center_crop', 'scale'_ 0.6000000000000001.png",carrier_0bit_test,-494170.0,-0.029715825418055612,0.066134837338368,False
17,"0_'attack'_ 'center_crop', 'scale'_ 0.5.png",carrier_0bit_test,-540129.9375,-0.02475302712260042,0.0554021062089759,False
27,"0_'attack'_ 'contrast', 'contrast_factor'_ 2.0.png",carrier_0bit_test,-289749.125,-0.023287692652126,0.0522095959547626,False
44,0_'attack'_ 'meme_format'.png,carrier_0bit_test,-194046.265625,-0.012292181616123419,0.027906994229037863,False
32,"0_'attack'_ 'hue', 'hue_factor'_ 0.25.png",carrier_0bit_test,-575069.375,-0.0038555868847289436,0.008838525429282429,False
0,"0_'attack'_ 'blur', 'kernel_size'_ 11.png",carrier_multibit_2026_Watermark,,,,False
1,"0_'attack'_ 'blur', 'kernel_size'_ 13.png",carrier_multibit_2026_Watermark,,,,False
2,"0_'attack'_ 'blur', 'kernel_size'_ 15.png",carrier_multibit_2026_Watermark,,,,False
3,"0_'attack'_ 'blur', 'kernel_size'_ 17.png",carrier_multibit_2026_Watermark,,,,False
4,"0_'attack'_ 'blur', 'kernel_size'_ 19.png",carrier_multibit_2026_Watermark,,,,False
5,"0_'attack'_ 'blur', 'kernel_size'_ 3.png",carrier_multibit_2026_Watermark,,,,False
6,"0_'attack'_ 'blur', 'kernel_size'_ 5.png",carrier_multibit_2026_Watermark,,,,False
7,"0_'attack'_ 'blur', 'kernel_size'_ 7.png",carrier_multibit_2026_Watermark,,,,False
8,"0_'attack'_ 'blur', 'kernel_size'_ 9.png",carrier_multibit_2026_Watermark,,,,False
9,"0_'attack'_ 'brightness', 'brightness_factor'_ 0.5.png",carrier_multibit_2026_Watermark,,,,False
10,"0_'attack'_ 'brightness', 'brightness_factor'_ 1.0.png",carrier_multibit_2026_Watermark,,,,False
11,"0_'attack'_ 'brightness', 'brightness_factor'_ 1.5.png",carrier_multibit_2026_Watermark,,,,False
12,"0_'attack'_ 'brightness', 'brightness_factor'_ 2.0.png",carrier_multibit_2026_Watermark,,,,False
13,"0_'attack'_ 'center_crop', 'scale'_ 0.1.png",carrier_multibit_2026_Watermark,,,,False
14,"0_'attack'_ 'center_crop', 'scale'_ 0.2.png",carrier_multibit_2026_Watermark,,,,False
15,"0_'attack'_ 'center_crop', 'scale'_ 0.30000000000000004.png",carrier_multibit_2026_Watermark,,,,False
16,"0_'attack'_ 'center_crop', 'scale'_ 0.4.png",carrier_multibit_2026_Watermark,,,,False
17,"0_'attack'_ 'center_crop', 'scale'_ 0.5.png",carrier_multibit_2026_Watermark,,,,False
18,"0_'attack'_ 'center_crop', 'scale'_ 0.6000000000000001.png",carrier_multibit_2026_Watermark,,,,False
19,"0_'attack'_ 'center_crop', 'scale'_ 0.7000000000000001.png",carrier_multibit_2026_Watermark,,,,False
20,"0_'attack'_ 'center_crop', 'scale'_ 0.8.png",carrier_multibit_2026_Watermark,,,,False
21,"0_'attack'_ 'center_crop', 'scale'_ 0.9.png",carrier_multibit_2026_Watermark,,,,False
22,"0_'attack'_ 'center_crop', 'scale'_ 1.0.png",carrier_multibit_2026_Watermark,,,,False
23,"0_'attack'_ 'contrast', 'contrast_factor'_ 0.0.png",carrier_multibit_2026_Watermark,,,,False
24,"0_'attack'_ 'contrast', 'contrast_factor'_ 0.5.png",carrier_multibit_2026_Watermark,,,,False
25,"0_'attack'_ 'contrast', 'contrast_factor'_ 1.0.png",carrier_multibit_2026_Watermark,,,,False
26,"0_'attack'_ 'contrast', 'contrast_factor'_ 1.5.png",carrier_multibit_2026_Watermark,,,,False
27,"0_'attack'_ 'contrast', 'contrast_factor'_ 2.0.png",carrier_multibit_2026_Watermark,,,,False
28,"0_'attack'_ 'hue', 'hue_factor'_ -0.25.png",carrier_multibit_2026_Watermark,,,,False
29,"0_'attack'_ 'hue', 'hue_factor'_ -0.5.png",carrier_multibit_2026_Watermark,,,,False
30,"0_'attack'_ 'hue', 'hue_factor'_ 0.0.png",carrier_multibit_2026_Watermark,,,,False
31,"0_'attack'_ 'hue', 'hue_factor'_ 0.2.png",carrier_multibit_2026_Watermark,,,,False
32,"0_'attack'_ 'hue', 'hue_factor'_ 0.25.png",carrier_multibit_2026_Watermark,,,,False
33,"0_'attack'_ 'hue', 'hue_factor'_ 0.5.png",carrier_multibit_2026_Watermark,,,,False
34,"0_'attack'_ 'jpeg', 'quality'_ 10.png",carrier_multibit_2026_Watermark,,,,False
35,"0_'attack'_ 'jpeg', 'quality'_ 100.png",carrier_multibit_2026_Watermark,,,,False
36,"0_'attack'_ 'jpeg', 'quality'_ 20.png",carrier_multibit_2026_Watermark,,,,False
37,"0_'attack'_ 'jpeg', 'quality'_ 30.png",carrier_multibit_2026_Watermark,,,,False
38,"0_'attack'_ 'jpeg', 'quality'_ 40.png",carrier_multibit_2026_Watermark,,,,False
39,"0_'attack'_ 'jpeg', 'quality'_ 50.png",carrier_multibit_2026_Watermark,,,,False
40,"0_'attack'_ 'jpeg', 'quality'_ 60.png",carrier_multibit_2026_Watermark,,,,False
41,"0_'attack'_ 'jpeg', 'quality'_ 70.png",carrier_multibit_2026_Watermark,,,,False
42,"0_'attack'_ 'jpeg', 'quality'_ 80.png",carrier_multibit_2026_Watermark,,,,False
43,"0_'attack'_ 'jpeg', 'quality'_ 90.png",carrier_multibit_2026_Watermark,,,,False
44,0_'attack'_ 'meme_format'.png,carrier_multibit_2026_Watermark,,,,False
45,0_'attack'_ 'none'.png,carrier_multibit_2026_Watermark,,,,False
46,0_'attack'_ 'overlay_onto_screenshot'.png,carrier_multibit_2026_Watermark,,,,False
47,"0_'attack'_ 'resize', 'scale'_ 0.1.png",carrier_multibit_2026_Watermark,,,,False
48,"0_'attack'_ 'resize', 'scale'_ 0.2.png",carrier_multibit_2026_Watermark,,,,False
49,"0_'attack'_ 'resize', 'scale'_ 0.30000000000000004.png",carrier_multibit_2026_Watermark,,,,False
50,"0_'attack'_ 'resize', 'scale'_ 0.4.png",carrier_multibit_2026_Watermark,,,,False
51,"0_'attack'_ 'resize', 'scale'_ 0.5.png",carrier_multibit_2026_Watermark,,,,False
52,"0_'attack'_ 'resize', 'scale'_ 0.6000000000000001.png",carrier_multibit_2026_Watermark,,,,False
53,"0_'attack'_ 'resize', 'scale'_ 0.7000000000000001.png",carrier_multibit_2026_Watermark,,,,False
54,"0_'attack'_ 'resize', 'scale'_ 0.8.png",carrier_multibit_2026_Watermark,,,,False
55,"0_'attack'_ 'resize', 'scale'_ 0.9.png",carrier_multibit_2026_Watermark,,,,False
56,"0_'attack'_ 'resize', 'scale'_ 1.0.png",carrier_multibit_2026_Watermark,,,,False
57,"0_'attack'_ 'rotation', 'angle'_ 0.png",carrier_multibit_2026_Watermark,,,,False
58,"0_'attack'_ 'rotation', 'angle'_ 10.png",carrier_multibit_2026_Watermark,,,,False
59,"0_'attack'_ 'rotation', 'angle'_ 15.png",carrier_multibit_2026_Watermark,,,,False
60,"0_'attack'_ 'rotation', 'angle'_ 20.png",carrier_multibit_2026_Watermark,,,,False
61,"0_'attack'_ 'rotation', 'angle'_ 25.png",carrier_multibit_2026_Watermark,,,,False
62,"0_'attack'_ 'rotation', 'angle'_ 30.png",carrier_multibit_2026_Watermark,,,,False
63,"0_'attack'_ 'rotation', 'angle'_ 35.png",carrier_multibit_2026_Watermark,,,,False
64,"0_'attack'_ 'rotation', 'angle'_ 40.png",carrier_multibit_2026_Watermark,,,,False
65,"0_'attack'_ 'rotation', 'angle'_ 5.png",carrier_multibit_2026_Watermark,,,,False
66,0_out.png,carrier_multibit_2026_Watermark,,,,False
67,1_out.png,carrier_multibit_2026_Watermark,,,,False
