video_name,frame_index,encode_type,key_used,decoded_bits,recovered_bits,matched_bits,hamming_distance,similarity,raw_msg,is_exact_match
0_encoded,71,multibit,video_Watermark,10000111001001101110100111011010101010000010011010110011,100001110010011011101001,,29,,,False
0_encoded,72,multibit,video_Watermark,00010111001001010110001111011101100000000110000010100010,000101110010010101100011,01110010011001010111001101100101110000010110000010101000,14,0.75,reserved,False
0_encoded,73,multibit,video_Watermark,00000111001000101000000110011100100000000010011011110011,000001110010001010000001,01100010011110010000000000000000101001010000011001110101,22,0.6071428571428572,by,False
0_encoded,74,multibit,video_Watermark,00000111001010101110000011011000100000110110011011010010,000001110010101011100000,,25,,,False
0_encoded,75,multibit,video_Watermark,00000111001001101110000111011000100000100110011010110010,000001110010011011100001,,25,,,False
0_encoded,76,multibit,video_Watermark,00000111001001101010010111011010100000100010011010100010,000001110010011010100101,,28,,,False
0_encoded,77,multibit,video_Watermark,00000011011011000110110000001000000011010100001111000010,000000110110110001101100,01000001011011000110110000000000010011010101101111001001,9,0.8392857142857143,All,False
0_encoded,78,multibit,video_Watermark,00000111011010101110011111001000101011010010011111110110,000001110110101011100111,01110010011010010110011101101000111111011001100111110110,18,0.6785714285714286,rights,False
0_encoded,79,multibit,video_Watermark,00010011011001100110001101001101100000010110011010100010,000100110110011001100011,01110010011001010111001101100101110000010110000010101000,13,0.7678571428571428,reserved,False
0_encoded,80,multibit,video_Watermark,00000111001001101110001111011010100000100110011010110010,000001110010011011100011,,25,,,False
0_encoded,81,multibit,video_Watermark,00000111001001101110010111011010001000100110011010100011,000001110010011011100101,,29,,,False
0_encoded,82,multibit,video_Watermark,00000111011010101100000010011000100000000010011011110011,000001110110101011000000,01100010011110010000000000000000101001010000011001110101,19,0.6607142857142857,by,False
0_encoded,83,multibit,video_Watermark,00000111011010101110010011011000000000100110011111010011,000001110110101011100100,01101110011010010111010001110000010100111101000111011001,21,0.625,nitphen,False
0_encoded,84,multibit,video_Watermark,00000111001011001110110000001000000011010111001111000011,000001110010110011101100,01000001011011000110110000000000010011010101101111001001,11,0.8035714285714286,All,False
0_encoded,85,multibit,video_Watermark,10000111001001101110110111011010000010000010011010110011,100001110010011011101101,,28,,,False
0_encoded,86,multibit,video_Watermark,10000111001001101100110111011010000010000010011010100010,100001110010011011001101,,29,,,False
0_encoded,87,multibit,video_Watermark,00000111001010101110011111001010100011000011011111110010,000001110010101011100111,01110010011010010110011101101000111111011001100111110110,22,0.6071428571428572,rights,False
0_encoded,88,multibit,video_Watermark,00000111001001101110001111001101100010000010011010100010,000001110010011011100011,01110010011001010111001101100101110000010110000010101000,21,0.625,reserved,False
0_encoded,89,multibit,video_Watermark,00000111001010101000000010001000100001000010011011110011,000001110010101010000000,01100010011110010000000000000000101001010000011001110101,17,0.6964285714285714,by,False
0_encoded,90,multibit,video_Watermark,00000111001000101000000111011000100010100010011010110010,000001110010001010000001,,26,,,False
0_encoded,91,multibit,video_Watermark,00000111001000101000001111011010100010100010011010111010,000001110010001010000011,,29,,,False
0_encoded,92,multibit,video_Watermark,00000111011010101110010011011000000000110111011111010011,000011110110101011100100,01101110011010010111010001110000010100111101000111011001,19,0.6607142857142857,nitphen,False
0_encoded,93,multibit,video_Watermark,00000111001011100110110110001000000011010101101111001011,000001110010111001101101,01000001011011000110110000000000010011010101101111001001,10,0.8214285714285714,All,False
0_encoded,94,multibit,video_Watermark,00010111001010100110011111001000100011010011001111110110,000101110010101001100111,01110010011010010110011101101000111111011001100111110110,16,0.7142857142857143,rights,False
0_encoded,95,multibit,video_Watermark,00000111001010101010001111001010000010000010011111110110,000001110010101010100011,,26,,,False
0_encoded,96,multibit,video_Watermark,10000111001010101110100111011010000010000010011010100111,100001110010101011101001,,29,,,False
0_encoded,97,multibit,video_Watermark,00010111001001101110000111011101100010000110011010100010,000101110010011011100001,01110010011001010111001101100101110000010110000010101000,21,0.625,reserved,False
0_encoded,98,multibit,video_Watermark,00000111001010101000000110001000100001000010011011110011,000001110010101010000001,01100010011110010000000000000000101001010000011001110101,18,0.6785714285714286,by,False
0_encoded,99,multibit,video_Watermark,00000111001010101100010111011000000000100110011111010011,000001110010101011000101,,24,,,False
0_encoded,100,multibit,video_Watermark,10000111001000101000001111011010000010100010011011110011,100001110010001010000011,,28,,,False
0_encoded,101,multibit,video_Watermark,10000111001000101100110111011010000010100010011010110011,100001110010001011001101,,31,,,False
0_encoded,102,multibit,video_Watermark,00000111001011101110110010001000000011000111011111000011,000001110010111011101100,01000001011011000110110000000000010011010101101111001001,15,0.7321428571428572,All,False
0_encoded,103,multibit,video_Watermark,00000111001010100110001111001000100011000011011111110010,000001110010101001100011,01110010011010010110011101101000111111011001100111110110,21,0.625,rights,False
0_encoded,104,multibit,video_Watermark,00010011001001100110001111001101100010110110001011100010,000100110010011001100011,01110010011001010111001101100101110000010110000010101000,17,0.6964285714285714,reserved,False
0_encoded,105,multibit,video_Watermark,00000111001000101110000111011010000010000010011011110010,000001110010001011100001,,28,,,False
0_encoded,106,multibit,video_Watermark,00000111001000101010000111011010000010000010011111100111,000001110010001010100001,,27,,,False
0_encoded,107,multibit,video_Watermark,00000111001010100000000010001000100001000010011011110110,000001110010101000000000,01100010011110010000000000000000101001010000011001110101,16,0.7142857142857143,by,False
0_encoded,108,multibit,video_Watermark,00000111001010101111010111010100000000100111000111010011,000001110010101011110101,01101110011010010111010001110000010100111101000111011001,19,0.6607142857142857,nitphen,False
0_encoded,109,multibit,video_Watermark,00000111001011001110110000010000000010010111001111000011,000001110010110011101100,01000001011011000110110000000000010011010101101111001001,12,0.7857142857142857,All,False
0_encoded,110,multibit,video_Watermark,00000111001000101110100111011010000010000010011111110011,000001110010001011101001,,27,,,False
0_encoded,111,multibit,video_Watermark,00000111001010101110010111011010000010100010011010110111,000001110010101011100101,,28,,,False
0_encoded,112,multibit,video_Watermark,00010111001010101110011111001000111010010011011111110110,000101110010101011100111,01110010011010010110011101101000111111011001100111110110,17,0.6964285714285714,rights,False
0_encoded,113,multibit,video_Watermark,00010111001001101110001111001101100010110110011010110010,000101110010011011100011,01110010011001010111001101100101110000010110000010101000,20,0.6428571428571428,reserved,False
0_encoded,114,multibit,video_Watermark,00000111001010001000000110001000100001000010011011110010,000001110010100010000001,01100010011110010000000000000000101001010000011001110101,18,0.6785714285714286,by,False
0_encoded,115,multibit,video_Watermark,00000111001000101110001111011010100000100010011010110010,000001110010001011100011,,27,,,False
0_encoded,116,multibit,video_Watermark,00000111001010101110000111011010000010000010011110110011,000001110010101011100001,,28,,,False
0_encoded,117,multibit,video_Watermark,00000111001010101110010111010000000000100010011111110011,000001110010101011100101,,24,,,False
0_encoded,118,multibit,video_Watermark,00000111001011101110110000000000000010010111011111010011,000001110010111011101100,01000001011011000110110000000000010011010101101111001001,14,0.75,All,False
0_encoded,119,multibit,video_Watermark,00000111001010101110010111001000100010010011011111110010,000001110010101011100101,01110010011010010110011101101000111111011001100111110110,22,0.6071428571428572,rights,False
0_encoded,120,multibit,video_Watermark,10010111001010101010100111011010000010000010011010100111,100101110010101010101001,,29,,,False
0_encoded,121,multibit,video_Watermark,00000111001000101110100111011010000010000010011010100111,000001110010001011101001,,29,,,False
0_encoded,122,multibit,video_Watermark,00010111001000101110001111001101100000010110011010100010,000101110010001011100011,01110010011001010111001101100101110000010110000010101000,18,0.6785714285714286,reserved,False
0_encoded,123,multibit,video_Watermark,00000111001010101000000110000000100000000010011011110111,000001110010101010000001,01100010011110010000000000000000101001010000011001110101,17,0.6964285714285714,by,False
0_encoded,124,multibit,video_Watermark,00000111001010101100010111010000000000110010011111010011,000001110010101011000101,,23,,,False
0_encoded,125,multibit,video_Watermark,00000111001000101100010111011000000010100010011010110011,000001110010001011000101,,28,,,False
0_encoded,126,multibit,video_Watermark,00000111001000101100000111011010000000100010011011110011,000001110010001011000001,,26,,,False
0_encoded,127,multibit,video_Watermark,00000111001011101110110010000000000011100111011111000011,000001110010111011101100,01000001011011000110110000000000010011010101101111001001,15,0.7321428571428572,All,False
0_encoded,128,multibit,video_Watermark,00000111001010101110010111001000100011010011011111110110,000001110010101011100101,01110010011010010110011101101000111111011001100111110110,20,0.6428571428571428,rights,False
0_encoded,129,multibit,video_Watermark,00010111001001101110001111001101100000010110011010100010,000101110010011011100011,01110010011001010111001101100101110000010110000010101000,17,0.6964285714285714,reserved,False
0_encoded,130,multibit,video_Watermark,00000111001010101110100111011000000010000010011010100110,000001110010101011101001,,28,,,False
0_encoded,131,multibit,video_Watermark,00000111001011101010100111011000100010000110011011100110,000001110010111010101001,,27,,,False
0_encoded,132,multibit,video_Watermark,00000011001010001000000000010000100001010010011011110111,000000110010100010000000,01100010011110010000000000000000101001010000011001110101,12,0.7857142857142857,by,False
0_encoded,133,multibit,video_Watermark,00000111001010101100010011011000100000100010011011010011,000001110010101011000100,,24,,,False
0_encoded,134,multibit,video_Watermark,00000011001010001110110000000000000011010110001111000011,000000110010100011101100,01000001011011000110110000000000010011010101101111001001,11,0.8035714285714286,All,False
0_encoded,135,multibit,video_Watermark,00000111001010101010110111011000000010100010011011100011,000001110010101010101100,,26,,,False
0_encoded,136,multibit,video_Watermark,00000111001010101010100111011010000010000010011010100010,000001110010101010101001,,29,,,False
0_encoded,137,multibit,video_Watermark,00000111001010101110001111011000101011000010011111110110,000001110010101111100011,01110010011010010110011101101000111111011001100111110110,22,0.6071428571428572,rights,False
