img,attack,log10_pvalue,R,marked,param0
0,jpeg,-15.644862644149379,429410.5,True,60.0
0,jpeg,-20.818118044576348,713581.625,True,70.0
0,jpeg,-35.06036145605102,1584785.75,True,80.0
0,jpeg,-50.69445946936678,3436885.5,True,90.0
0,jpeg,-65.5741348164547,9207107.0,True,100.0
0,contrast,-0.4274950138798106,-42115.71875,False,0.0
0,contrast,-63.675319652528316,8742782.0,True,0.5
0,contrast,-68.82598951762714,11530438.0,True,1.0
0,contrast,-51.61393447376542,3832973.25,True,1.5
0,contrast,-35.37716101450008,1555745.0,True,2.0
0,brightness,-66.27777558071863,8668899.0,True,0.5
0,brightness,-68.82598951762714,11530438.0,True,1.0
0,brightness,-62.70204515990179,9315923.0,True,1.5
0,brightness,-50.242960376461,6013157.0,True,2.0
0,hue,-41.63679246647244,2375554.0,True,-0.5
0,hue,-46.1162514159717,2955240.25,True,-0.25
0,hue,-68.77478079389509,11426679.0,True,0.0
0,hue,-52.01081790721773,4761718.0,True,0.25
0,hue,-41.78256677630687,2400308.0,True,0.5
0,hue,-51.68011409641431,5332030.5,True,0.2
1,none,-106.65795830640825,4554893.0,True,-1.0
1,meme_format,-27.068943142546352,242014.71875,True,-1.0
1,overlay_onto_screenshot,-0.8432045320856236,-26358.8515625,False,-1.0
1,rotation,-106.65795830640825,4554893.0,True,0.0
1,rotation,-32.53673324681785,469161.875,True,5.0
1,rotation,-28.170839491952513,353604.5,True,10.0
1,rotation,-23.24246710677645,283344.6875,True,15.0
1,rotation,-15.873872617536874,148956.296875,True,20.0
1,rotation,-16.537472634902347,156955.34375,True,25.0
1,rotation,-16.795731181441713,157581.390625,True,30.0
1,rotation,-13.465726568917505,109061.4140625,True,35.0
1,rotation,-15.623764087134635,135807.625,True,40.0
1,center_crop,-5.389963063943836,-58626.5625,False,0.1
1,center_crop,-4.267344225130384,-98400.296875,False,0.2
1,center_crop,-10.417723818518551,192337.046875,True,0.30000000000000004
1,center_crop,-11.515285524655711,217483.390625,True,0.4
1,center_crop,-12.506987361184768,171510.140625,True,0.5
1,center_crop,-16.41647539283229,240037.46875,True,0.6000000000000001
1,center_crop,-27.720859567316012,522183.75,True,0.7000000000000001
1,center_crop,-20.362233575126822,306742.34375,True,0.8
1,center_crop,-27.70825033519344,402978.125,True,0.9
1,center_crop,-106.65795830640825,4554893.0,True,1.0
1,resize,-0.31284762321587367,-794191.0,False,0.1
1,resize,-0.33569647000530406,-274722.09375,False,0.2
1,resize,-0.411786741223155,-170590.53125,False,0.30000000000000004
1,resize,-2.344482631010356,-103590.609375,False,0.4
1,resize,-6.910418787732983,19977.8125,True,0.5
1,resize,-11.124438806908108,101873.7890625,True,0.6000000000000001
1,resize,-20.820956166777787,304468.375,True,0.7000000000000001
1,resize,-31.241519619035223,569951.0,True,0.8
1,resize,-31.055214862807137,535992.375,True,0.9
1,resize,-106.65795830640825,4554893.0,True,1.0
1,blur,-80.08158731663492,2726727.5,True,3.0
1,blur,-64.5860993373152,1914425.125,True,5.0
1,blur,-57.22374397526207,1576063.5,True,7.0
1,blur,-50.97907339448912,1278545.5,True,9.0
1,blur,-39.783949357952864,862977.875,True,11.0
1,blur,-28.457153922812186,543114.625,True,13.0
1,blur,-19.721091088366986,330914.75,True,15.0
1,blur,-13.29994755390488,177477.65625,True,17.0
